152; 8313; 63.0
195; 7942; 69.0
196; 8051; 73.0
148; 8202; 74.0
197; 8113; 60.0
193; 8133; 76.0
198; 8221; 74.0
187; 8407; 61.0
158; 8303; 63.0
189; 8148; 65.0
178; 8219; 62.0
176; 7881; 58.0
134; 8143; 61.0
199; 8154; 74.0
173; 8220; 71.0
138; 8260; 63.0
151; 8182; 51.0
149; 8180; 66.0
150; 8125; 55.0
190; 8193; 73.0
140; 7995; 69.0
194; 8082; 59.0
141; 8157; 68.0
191; 8165; 62.0
177; 8177; 70.0
203; 8235; 72.0
206; 8097; 63.0
204; 8062; 81.0
202; 8009; 64.0
205; 8433; 61.0
207; 8104; 76.0
212; 8148; 61.0
218; 7872; 70.0
219; 8176; 55.0
213; 8032; 54.0
200; 8272; 75.0
217; 8160; 67.0
234; 7990; 59.0
228; 8131; 69.0
231; 8150; 62.0
215; 8181; 58.0
216; 8598; 66.0
232; 8325; 62.0
214; 8201; 67.0
229; 8273; 73.0
233; 8341; 70.0
226; 8169; 81.0
225; 8209; 58.0
227; 8281; 66.0
224; 8277; 67.0
236; 8360; 70.0
208; 8068; 55.0
201; 8119; 71.0
242; 8136; 58.0
235; 8421; 70.0
248; 8028; 75.0
245; 8223; 73.0
244; 8044; 67.0
247; 8230; 76.0
209; 8279; 67.0
246; 8266; 74.0
259; 8151; 77.0
257; 8233; 80.0
258; 8419; 72.0
260; 8119; 63.0
262; 8325; 67.0
223; 8006; 69.0
243; 8226; 73.0
222; 8224; 66.0
265; 7964; 60.0
270; 8145; 71.0
267; 8015; 63.0
266; 8059; 63.0
264; 8229; 64.0
276; 8084; 68.0
274; 8057; 70.0
275; 8236; 66.0
277; 8124; 63.0
272; 8189; 76.0
273; 8304; 67.0
241; 7944; 63.0
239; 8235; 66.0
210; 8169; 56.0
238; 8087; 53.0
289; 8073; 56.0
288; 8159; 70.0
292; 8231; 61.0
271; 8154; 70.0
297; 8312; 75.0
291; 8396; 78.0
290; 8334; 74.0
221; 8078; 69.0
255; 8378; 63.0
237; 8144; 60.0
268; 8018; 60.0
296; 8225; 70.0
254; 8376; 60.0
253; 8157; 68.0
220; 8157; 56.0
295; 8028; 71.0
286; 8011; 61.0
287; 8114; 61.0
285; 8063; 63.0
256; 8300; 59.0
240; 8267; 47.0
263; 8001; 57.0
284; 8347; 74.0
298; 8202; 71.0
249; 8201; 53.0
250; 8016; 65.0
252; 8242; 66.0
251; 7977; 56.0
294; 8099; 71.0
281; 8079; 63.0
279; 8075; 62.0
282; 8239; 62.0
280; 8385; 50.0
278; 8043; 66.0
269; 7908; 57.0
283; 8344; 66.0
261; 8239; 76.0
293; 8047; 74.0
299; 8260; 58.0
301; 8195; 85.0
302; 8234; 71.0
304; 8148; 58.0
305; 8215; 63.0
316; 8126; 69.0
300; 8420; 58.0
303; 8079; 84.0
309; 8016; 65.0
311; 8154; 66.0
310; 7963; 67.0
314; 8151; 70.0
320; 8149; 56.0
321; 8031; 69.0
318; 8306; 73.0
337; 8171; 66.0
334; 8116; 72.0
335; 8130; 69.0
354; 8057; 61.0
339; 8019; 60.0
353; 8383; 63.0
307; 8005; 57.0
338; 8074; 63.0
356; 7881; 71.0
355; 8350; 62.0
340; 8110; 58.0
359; 8097; 83.0
357; 8169; 80.0
336; 8202; 69.0
315; 8243; 64.0
308; 8224; 58.0
360; 7863; 51.0
312; 8071; 69.0
344; 8210; 68.0
367; 8153; 57.0
319; 8176; 69.0
364; 8033; 68.0
346; 7780; 73.0
366; 8217; 74.0
349; 8114; 59.0
350; 8040; 60.0
387; 8006; 83.0
385; 8375; 59.0
386; 8164; 74.0
348; 7862; 59.0
384; 8299; 61.0
374; 8051; 81.0
347; 8306; 60.0
342; 8189; 68.0
361; 8185; 61.0
373; 8253; 73.0
390; 8137; 64.0
322; 7974; 62.0
325; 8200; 76.0
358; 8297; 61.0
368; 7853; 56.0
396; 8067; 67.0
313; 8037; 65.0
323; 8206; 68.0
372; 8156; 55.0
399; 8240; 60.0
306; 8265; 48.0
369; 8090; 65.0
388; 7952; 68.0
394; 8019; 75.0
398; 8022; 56.0
392; 8187; 79.0
324; 8086; 78.0
393; 8235; 63.0
341; 8271; 64.0
331; 8075; 66.0
333; 8013; 63.0
382; 8202; 68.0
329; 8097; 69.0
332; 8367; 68.0
381; 8129; 74.0
328; 8067; 74.0
330; 8049; 58.0
327; 8236; 69.0
365; 8207; 65.0
