,0,1,2,3
309,0.0,-0.0,-0.06,0.06
310,0.0,-0.02,-0.08,0.04
311,0.0,0.01,-0.05,0.08
312,0.0,-0.04,-0.1,0.02
313,0.0,-0.02,-0.08,0.05
314,0.0,0.0,-0.06,0.07
315,0.0,-0.03,-0.09,0.04
316,0.0,0.03,-0.03,0.1
317,0.0,0.04,-0.03,0.1
318,0.0,0.02,-0.05,0.09
319,0.0,-0.01,-0.08,0.06
320,0.0,0.0,-0.07,0.07
321,0.0,-0.04,-0.11,0.03
322,0.0,0.06,-0.01,0.12
323,0.0,0.02,-0.05,0.08
324,0.0,-0.02,-0.09,0.04
325,0.0,-0.06,-0.13,0.01
326,0.0,0.02,-0.05,0.08
327,0.0,0.04,-0.02,0.1
328,0.0,-0.09,-0.15,-0.02
329,0.0,-0.04,-0.1,0.03
330,0.0,0.01,-0.06,0.08
331,0.0,0.02,-0.04,0.09
332,0.0,-0.02,-0.09,0.04
333,0.0,-0.03,-0.09,0.03
334,0.0,0.01,-0.06,0.08
335,0.0,-0.04,-0.1,0.03
336,0.0,-0.03,-0.09,0.04
337,0.0,-0.02,-0.08,0.05
338,0.0,-0.0,-0.07,0.06
339,0.0,-0.05,-0.11,0.01
340,0.0,0.05,-0.01,0.12
341,0.0,0.05,-0.02,0.13
342,0.0,0.06,-0.01,0.13
343,0.0,-0.0,-0.06,0.06
344,0.0,0.01,-0.05,0.08
345,0.0,0.0,-0.06,0.06
346,0.0,0.06,-0.02,0.13
347,0.0,-0.04,-0.11,0.03
348,0.0,-0.01,-0.07,0.06
349,0.0,-0.01,-0.08,0.06
350,0.0,-0.05,-0.11,0.02
351,0.0,-0.03,-0.1,0.03
352,0.0,0.0,-0.06,0.07
353,0.0,-0.09,-0.15,-0.02
354,0.0,0.0,-0.06,0.07
355,0.0,-0.02,-0.09,0.05
356,0.0,0.07,0.0,0.14
357,0.0,0.04,-0.03,0.1
358,0.0,-0.01,-0.09,0.06
359,0.0,0.04,-0.02,0.1
360,0.0,0.01,-0.05,0.08
361,0.0,0.0,-0.06,0.06
362,0.0,0.01,-0.05,0.08
363,0.0,-0.08,-0.14,-0.03
364,0.0,0.01,-0.06,0.08
365,0.0,0.02,-0.05,0.09
366,0.0,0.01,-0.06,0.08
367,0.0,0.03,-0.03,0.1
368,0.0,0.02,-0.05,0.08
369,0.0,0.01,-0.05,0.07
370,0.0,-0.0,-0.07,0.06
371,0.0,-0.05,-0.12,0.02
372,0.0,-0.01,-0.07,0.06
373,0.0,-0.05,-0.11,0.02
374,0.0,-0.07,-0.14,-0.01
375,0.0,0.02,-0.04,0.09
376,0.0,0.02,-0.04,0.08
377,0.0,0.05,-0.01,0.11
378,0.0,-0.07,-0.13,-0.0
379,0.0,0.01,-0.06,0.07
380,0.0,0.07,0.0,0.13
381,0.0,0.02,-0.05,0.08
382,0.0,0.03,-0.04,0.1
383,0.0,-0.07,-0.14,0.0
384,0.0,-0.0,-0.07,0.06
385,0.0,-0.0,-0.06,0.06
386,0.0,0.06,-0.01,0.12
387,0.0,-0.01,-0.08,0.05
388,0.0,-0.03,-0.09,0.04
389,0.0,-0.05,-0.11,0.02
390,0.0,-0.04,-0.11,0.02
391,0.0,-0.08,-0.15,-0.01
392,0.0,-0.03,-0.1,0.04
393,0.0,0.01,-0.05,0.07
394,0.0,-0.0,-0.06,0.06
395,0.0,0.02,-0.05,0.08
396,0.0,-0.0,-0.06,0.06
397,0.0,-0.07,-0.14,-0.01
398,0.0,-0.03,-0.1,0.04
399,0.0,0.02,-0.05,0.08
400,0.0,-0.05,-0.11,0.02
401,0.0,-0.05,-0.11,0.01
402,0.0,0.04,-0.02,0.1
403,0.0,0.01,-0.05,0.08
404,0.0,0.08,0.01,0.14
405,0.0,0.0,-0.06,0.07
406,0.0,0.03,-0.04,0.09
407,0.0,0.03,-0.04,0.09
408,0.0,0.03,-0.03,0.09
409,0.0,-0.01,-0.08,0.06
410,0.0,0.03,-0.03,0.09
411,0.0,0.09,0.02,0.16
412,0.0,0.02,-0.05,0.09
413,0.0,-0.03,-0.09,0.03
414,0.0,0.04,-0.02,0.11
415,0.0,-0.02,-0.08,0.05
416,0.0,-0.01,-0.08,0.06
417,0.0,-0.01,-0.08,0.06
418,0.0,0.02,-0.05,0.08
419,0.0,-0.06,-0.12,0.01
420,0.0,-0.01,-0.07,0.05
421,0.0,0.07,0.01,0.13
422,0.0,-0.01,-0.08,0.06
423,0.0,0.01,-0.06,0.07
424,0.0,-0.05,-0.11,0.02
425,0.0,-0.01,-0.08,0.05
426,0.0,0.01,-0.05,0.08
427,0.0,0.06,-0.0,0.13
428,0.0,-0.03,-0.1,0.03
429,0.0,0.01,-0.06,0.07
430,0.0,-0.03,-0.09,0.04
431,0.0,-0.03,-0.09,0.03
432,0.0,0.01,-0.06,0.08
433,0.0,0.01,-0.05,0.07
434,0.0,-0.02,-0.08,0.04
435,0.0,-0.01,-0.08,0.06
436,0.0,-0.04,-0.11,0.02
437,0.0,-0.02,-0.08,0.04
438,0.0,-0.01,-0.08,0.05
439,0.0,-0.03,-0.1,0.03
440,0.0,0.01,-0.06,0.08
441,0.0,-0.02,-0.09,0.05
442,0.0,0.08,0.01,0.15
443,0.0,-0.06,-0.13,0.0
444,0.0,0.02,-0.05,0.09
445,0.0,-0.0,-0.06,0.06
446,0.0,0.02,-0.04,0.09
447,0.0,-0.01,-0.08,0.05
448,0.0,0.05,-0.02,0.11
449,0.0,-0.06,-0.13,0.0
450,0.0,0.02,-0.04,0.08
451,0.0,-0.09,-0.15,-0.02
452,0.0,0.0,-0.07,0.07
453,0.0,-0.09,-0.16,-0.02
454,0.0,-0.01,-0.08,0.06
455,0.0,0.01,-0.05,0.07
456,0.0,0.01,-0.06,0.07
457,0.0,-0.06,-0.12,0.01
458,0.0,0.04,-0.03,0.1
459,0.0,-0.01,-0.08,0.06
460,0.0,-0.04,-0.1,0.02
461,0.0,-0.02,-0.09,0.05
462,0.0,0.01,-0.05,0.07
463,0.0,-0.04,-0.1,0.03
464,0.0,-0.04,-0.1,0.02
465,0.0,-0.02,-0.08,0.04
466,0.0,-0.03,-0.1,0.04
467,0.0,-0.03,-0.1,0.04
468,0.0,-0.03,-0.1,0.03
469,0.0,0.01,-0.06,0.09
470,0.0,-0.01,-0.08,0.05
471,0.0,0.09,0.03,0.14
472,0.0,-0.02,-0.08,0.05
473,0.0,0.02,-0.05,0.08
474,0.0,0.04,-0.03,0.1
475,0.0,0.01,-0.05,0.08
476,0.0,0.06,0.0,0.12
477,0.0,0.05,-0.01,0.11
478,0.0,0.0,-0.07,0.07
479,0.0,0.03,-0.04,0.1
480,0.0,-0.0,-0.07,0.06
481,0.0,-0.04,-0.1,0.03
482,0.0,-0.03,-0.1,0.03
483,0.0,-0.07,-0.13,-0.01
484,0.0,-0.05,-0.12,0.02
485,0.0,-0.02,-0.08,0.04
486,0.0,0.03,-0.03,0.09
487,0.0,0.02,-0.04,0.09
488,0.0,0.09,0.03,0.16
489,0.0,0.04,-0.03,0.11
490,0.0,0.01,-0.06,0.08
491,0.0,0.04,-0.02,0.11
492,0.0,0.04,-0.03,0.11
493,0.0,0.03,-0.03,0.09
494,0.0,0.01,-0.05,0.08
495,0.0,-0.0,-0.06,0.06
496,0.0,0.0,-0.07,0.08
497,0.0,-0.07,-0.14,-0.0
498,0.0,0.02,-0.05,0.08
499,0.0,0.01,-0.06,0.07
500,0.0,0.02,-0.05,0.08
501,0.0,-0.04,-0.1,0.03
502,0.0,-0.04,-0.1,0.03
503,0.0,-0.03,-0.1,0.04
504,0.0,-0.04,-0.1,0.03
505,0.0,0.09,0.02,0.15
506,0.0,-0.07,-0.13,-0.0
507,0.0,0.09,0.02,0.16
508,0.0,0.05,-0.01,0.11
509,0.0,-0.01,-0.08,0.06
510,0.0,-0.01,-0.07,0.05
511,0.0,0.01,-0.06,0.08
512,0.0,0.09,0.02,0.16
513,0.0,0.02,-0.04,0.08
514,0.0,0.02,-0.04,0.09
515,0.0,0.04,-0.03,0.1
516,0.0,-0.02,-0.08,0.04
517,0.0,0.04,-0.02,0.11
518,0.0,0.03,-0.04,0.1
519,0.0,-0.01,-0.07,0.06
520,0.0,0.05,-0.01,0.11
521,0.0,-0.03,-0.09,0.04
522,0.0,-0.01,-0.07,0.06
523,0.0,0.01,-0.06,0.07
524,0.0,0.04,-0.03,0.1
525,0.0,0.11,0.04,0.18
526,0.0,-0.01,-0.08,0.06
527,0.0,0.02,-0.04,0.08
528,0.0,-0.04,-0.1,0.02
529,0.0,-0.0,-0.07,0.07
530,0.0,-0.01,-0.07,0.05
531,0.0,0.05,-0.02,0.11
532,0.0,-0.01,-0.07,0.05
533,0.0,-0.05,-0.12,0.02
534,0.0,-0.06,-0.13,0.01
535,0.0,0.02,-0.05,0.09
536,0.0,-0.09,-0.16,-0.01
537,0.0,-0.02,-0.08,0.04
538,0.0,-0.06,-0.13,0.0
539,0.0,-0.01,-0.07,0.06
540,0.0,0.04,-0.03,0.1
541,0.0,0.08,0.02,0.14
542,0.0,-0.05,-0.11,0.01
543,0.0,-0.04,-0.1,0.03
544,0.0,0.03,-0.03,0.1
545,0.0,-0.05,-0.11,0.01
546,0.0,-0.03,-0.1,0.04
547,0.0,0.03,-0.04,0.1
548,0.0,-0.01,-0.08,0.05
549,0.0,0.06,0.0,0.13
550,0.0,0.01,-0.06,0.07
551,0.0,0.06,0.0,0.12
552,0.0,0.03,-0.04,0.1
553,0.0,0.02,-0.05,0.09
554,0.0,-0.03,-0.09,0.04
555,0.0,-0.05,-0.12,0.01
556,0.0,0.03,-0.03,0.09
557,0.0,0.05,-0.02,0.12
558,0.0,-0.01,-0.08,0.05
559,0.0,-0.01,-0.08,0.05
560,0.0,0.01,-0.06,0.07
561,0.0,0.01,-0.06,0.08
562,0.0,0.14,0.07,0.2
563,0.0,0.03,-0.03,0.09
564,0.0,0.01,-0.06,0.07
565,0.0,-0.03,-0.11,0.04
566,0.0,0.05,-0.02,0.11
567,0.0,-0.02,-0.08,0.05
568,0.0,0.02,-0.04,0.09
569,0.0,-0.07,-0.13,-0.0
570,0.0,0.01,-0.06,0.09
571,0.0,-0.02,-0.09,0.05
572,0.0,-0.01,-0.08,0.05
573,0.0,0.02,-0.04,0.09
574,0.0,-0.06,-0.12,0.01
575,0.0,0.06,-0.01,0.13
576,0.0,-0.08,-0.15,-0.01
577,0.0,0.03,-0.03,0.1
578,0.0,0.06,-0.0,0.13
579,0.0,0.0,-0.07,0.07
580,0.0,0.03,-0.04,0.09
581,0.0,0.04,-0.02,0.1
582,0.0,0.01,-0.06,0.08
583,0.0,0.03,-0.04,0.1
584,0.0,-0.04,-0.1,0.03
585,0.0,-0.02,-0.08,0.05
586,0.0,0.03,-0.04,0.09
587,0.0,-0.04,-0.1,0.03
588,0.0,0.01,-0.06,0.08
589,0.0,0.04,-0.02,0.11
590,0.0,-0.0,-0.07,0.06
591,0.0,-0.01,-0.08,0.05
592,0.0,0.06,-0.0,0.13
593,0.0,0.02,-0.04,0.09
594,0.0,-0.06,-0.12,0.01
595,0.0,0.05,-0.02,0.11
596,0.0,-0.03,-0.09,0.04
597,0.0,-0.02,-0.08,0.04
598,0.0,-0.1,-0.17,-0.04
599,0.0,-0.02,-0.08,0.04
600,0.0,0.01,-0.06,0.07
601,0.0,0.03,-0.03,0.1
602,0.0,0.03,-0.04,0.09
603,0.0,0.03,-0.03,0.1
604,0.0,0.01,-0.05,0.07
605,0.0,0.01,-0.06,0.07
606,0.0,0.05,-0.02,0.11
607,0.0,-0.02,-0.08,0.04
608,0.0,0.1,0.04,0.16
609,0.0,0.02,-0.04,0.08
