,0,1,2,3,4,5,6
154,0.0,-0.0,0.07,0.07,0.0,0.0,0.02
155,0.0,0.0,0.11,0.11,0.0,0.0,0.04
156,0.0,-0.0,0.09,0.09,0.0,0.0,0.03
157,0.0,0.0,0.01,0.01,0.0,0.0,0.0
158,0.0,-0.01,0.08,0.08,0.0,0.0,0.02
159,0.0,0.0,0.01,0.01,0.0,0.0,0.01
160,0.0,0.0,0.08,0.08,0.0,0.0,0.02
161,0.0,-0.0,0.03,0.03,0.0,0.0,0.02
162,0.0,0.0,0.03,0.03,0.0,0.0,0.02
163,0.0,0.0,0.05,0.05,0.0,0.0,0.01
164,0.0,0.0,0.04,0.04,0.0,0.0,0.02
165,0.0,0.0,0.05,0.05,0.0,0.0,0.02
166,0.0,0.01,0.08,0.08,0.0,0.0,0.03
167,0.0,-0.0,0.05,0.05,0.0,0.0,0.03
168,0.0,0.0,0.02,0.02,0.0,0.0,0.01
169,0.0,0.0,0.06,0.06,0.0,0.0,0.02
170,0.0,-0.0,0.08,0.08,0.0,0.0,0.04
171,0.0,-0.0,0.07,0.07,0.0,0.0,0.02
172,0.0,0.0,0.07,0.07,0.0,0.0,0.01
173,0.0,0.0,0.03,0.03,0.0,0.0,0.02
174,0.0,0.0,0.07,0.07,0.0,0.0,0.01
175,0.0,0.01,0.06,0.06,0.0,0.0,0.02
176,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
177,0.0,-0.0,0.05,0.05,0.0,0.0,0.02
178,0.0,0.0,0.06,0.06,0.0,0.0,0.02
179,0.0,0.01,0.06,0.06,0.0,0.0,0.02
180,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
181,0.0,0.0,0.04,0.04,0.0,0.0,0.02
182,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
183,0.0,-0.0,0.07,0.07,0.0,0.0,0.04
184,0.0,-0.0,0.03,0.03,0.0,0.0,0.01
185,0.0,0.0,0.07,0.07,0.0,0.0,0.02
186,0.0,0.0,0.05,0.05,0.0,0.0,0.04
187,0.0,0.0,0.05,0.05,0.0,0.0,0.02
188,0.0,0.0,0.07,0.07,0.0,0.0,0.02
189,0.0,0.01,0.06,0.06,0.0,0.0,0.02
190,0.0,0.01,0.06,0.07,0.0,0.0,0.02
191,0.0,-0.01,0.08,0.08,0.0,0.0,0.02
192,0.0,0.0,0.05,0.05,0.0,0.0,0.03
193,0.0,-0.0,0.05,0.05,0.0,0.0,0.02
194,0.0,-0.01,0.1,0.1,0.0,0.0,0.02
195,0.0,0.0,0.05,0.05,0.0,0.0,0.02
196,0.0,0.01,0.08,0.08,0.0,0.0,0.04
197,0.0,-0.0,0.1,0.1,0.0,0.0,0.03
198,0.0,-0.0,0.07,0.07,0.0,0.0,0.04
199,0.0,0.0,0.06,0.06,0.0,0.0,0.04
200,0.0,0.0,0.07,0.07,0.0,0.0,0.02
201,0.0,-0.01,0.06,0.06,0.0,0.0,0.01
202,0.0,0.0,0.07,0.07,0.0,0.0,0.02
203,0.0,-0.0,0.08,0.08,0.0,0.0,0.02
204,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
205,0.0,0.0,0.04,0.04,0.0,0.0,0.04
206,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
207,0.0,0.0,0.06,0.06,0.0,0.0,0.04
208,0.0,0.0,0.05,0.05,0.0,0.0,0.04
209,0.0,-0.0,0.08,0.08,0.0,0.0,0.03
210,0.0,-0.0,0.06,0.06,0.0,0.0,0.03
211,0.0,-0.0,0.04,0.04,0.0,0.0,0.01
212,0.0,0.0,0.03,0.03,0.0,0.0,0.02
213,0.0,0.0,0.09,0.09,0.0,0.0,0.02
214,0.0,0.01,0.08,0.08,0.0,0.0,0.02
215,0.0,-0.0,0.08,0.08,0.0,0.0,0.02
216,0.0,0.0,0.06,0.06,0.0,0.0,0.03
217,0.0,-0.0,0.05,0.05,0.0,0.0,0.01
218,0.0,-0.0,0.04,0.04,0.0,0.0,0.0
219,0.0,-0.01,0.08,0.08,0.0,0.0,0.04
220,0.0,0.0,0.09,0.09,0.0,0.0,0.02
221,0.0,-0.0,0.08,0.08,0.0,0.0,0.02
222,0.0,-0.0,0.01,0.01,0.0,0.0,0.0
223,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
224,0.0,0.01,0.12,0.12,0.0,0.0,0.02
225,0.0,0.0,0.05,0.05,0.0,0.0,0.03
226,0.0,0.0,0.05,0.05,0.0,0.0,0.02
227,0.0,0.0,0.03,0.03,0.0,0.0,0.02
228,0.0,0.0,0.02,0.02,0.0,0.0,0.01
229,0.0,0.01,0.07,0.07,0.0,0.0,0.03
230,0.0,0.0,0.09,0.09,0.0,0.0,0.04
231,0.0,0.0,0.05,0.05,0.0,0.0,0.03
232,0.0,0.0,0.11,0.11,0.0,0.0,0.03
233,0.0,-0.0,0.08,0.08,0.0,0.0,0.02
234,0.0,0.0,0.06,0.06,0.0,0.0,0.02
235,0.0,0.0,0.06,0.06,0.0,0.0,0.02
236,0.0,0.0,0.03,0.03,0.0,0.0,0.01
237,0.0,-0.0,0.05,0.05,0.0,0.0,0.03
238,0.0,-0.0,0.03,0.03,0.0,0.0,0.02
239,0.0,0.0,0.03,0.03,0.0,0.0,0.02
240,0.0,-0.0,0.03,0.03,0.0,0.0,0.01
241,0.0,-0.01,0.09,0.09,0.0,0.0,0.04
242,0.0,-0.01,0.11,0.11,0.0,0.0,0.04
243,0.0,0.0,0.01,0.01,0.0,0.0,0.0
244,0.0,0.01,0.06,0.06,0.0,0.0,0.03
245,0.0,-0.0,0.08,0.08,0.0,0.0,0.03
246,0.0,0.0,0.05,0.05,0.0,0.0,0.02
247,0.0,-0.0,0.07,0.07,0.0,0.0,0.03
248,0.0,-0.0,0.02,0.02,0.0,0.0,0.01
249,0.0,0.0,0.04,0.04,0.0,0.0,0.02
250,0.0,-0.0,0.07,0.07,0.0,0.0,0.04
251,0.0,0.01,0.07,0.07,0.0,0.0,0.03
252,0.0,0.01,0.11,0.11,0.0,0.0,0.03
253,0.0,0.0,0.03,0.03,0.0,0.0,0.0
254,0.0,-0.0,0.04,0.04,0.0,0.0,0.04
255,0.0,-0.0,0.05,0.05,0.0,0.0,0.02
256,0.0,0.0,0.08,0.08,0.0,0.0,0.04
257,0.0,-0.0,0.08,0.08,0.0,0.0,0.04
258,0.0,0.0,0.1,0.1,0.0,0.0,0.02
259,0.0,0.01,0.06,0.06,0.0,0.0,0.02
260,0.0,0.0,0.04,0.04,0.0,0.0,0.02
261,0.0,0.0,0.05,0.05,0.0,0.0,0.02
262,0.0,-0.0,0.06,0.06,0.0,0.0,0.02
263,0.0,-0.0,0.09,0.09,0.0,0.0,0.03
264,0.0,0.01,0.1,0.1,0.0,0.0,0.01
265,0.0,-0.01,0.06,0.06,0.0,0.0,0.03
266,0.0,0.0,0.05,0.05,0.0,0.0,0.02
267,0.0,0.0,0.06,0.06,0.0,0.0,0.03
268,0.0,0.0,0.07,0.07,0.0,0.0,0.02
269,0.0,-0.01,0.06,0.06,0.0,0.0,0.04
270,0.0,-0.0,0.03,0.03,0.0,0.0,0.02
271,0.0,0.01,0.07,0.07,0.0,0.0,0.04
272,0.0,-0.0,0.03,0.03,0.0,0.0,0.02
273,0.0,-0.01,0.06,0.06,0.0,0.0,0.02
274,0.0,0.0,0.07,0.07,0.0,0.0,0.02
275,0.0,-0.0,0.02,0.03,0.0,0.0,0.0
276,0.0,0.0,0.06,0.06,0.0,0.0,0.0
277,0.0,-0.0,0.06,0.06,0.0,0.0,0.0
278,0.0,0.0,0.09,0.09,0.0,0.0,0.04
279,0.0,-0.0,0.05,0.05,0.0,0.0,0.02
280,0.0,-0.0,0.01,0.01,0.0,0.0,0.0
281,0.0,-0.0,0.04,0.04,0.0,0.0,0.01
282,0.0,0.0,0.03,0.03,0.0,0.0,0.02
283,0.0,0.0,0.04,0.04,0.0,0.0,0.01
284,0.0,0.0,0.11,0.11,0.0,0.0,0.04
285,0.0,0.0,0.05,0.05,0.0,0.0,0.02
286,0.0,0.01,0.1,0.1,0.0,0.0,0.05
287,0.0,0.0,0.08,0.08,0.0,0.0,0.04
288,0.0,-0.01,0.07,0.07,0.0,0.0,0.04
289,0.0,0.0,0.06,0.06,0.0,0.0,0.02
290,0.0,-0.0,0.01,0.01,0.0,0.0,0.02
291,0.0,0.0,0.02,0.02,0.0,0.0,0.02
292,0.0,0.0,0.05,0.05,0.0,0.0,0.01
293,0.0,-0.0,0.05,0.05,0.0,0.0,0.02
294,0.0,-0.0,0.05,0.05,0.0,0.0,0.01
295,0.0,0.0,0.04,0.04,0.0,0.0,0.02
296,0.0,-0.01,0.08,0.08,0.0,0.0,0.02
297,0.0,-0.0,0.08,0.08,0.0,0.0,0.02
298,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
299,0.0,0.0,0.06,0.06,0.0,0.0,0.02
300,0.0,-0.01,0.07,0.07,0.0,0.0,0.02
301,0.0,-0.01,0.11,0.11,0.0,0.0,0.02
302,0.0,-0.01,0.06,0.06,0.0,0.0,0.02
303,0.0,-0.0,0.03,0.03,0.0,0.0,0.02
304,0.0,0.0,0.03,0.03,0.0,0.0,0.01
305,0.0,-0.0,0.07,0.07,0.0,0.0,0.02
306,0.0,-0.01,0.07,0.07,0.0,0.0,0.03
307,0.0,0.0,0.04,0.04,0.0,0.0,0.02
308,0.0,-0.0,0.12,0.12,0.0,0.0,0.04
309,0.0,0.01,0.06,0.06,0.0,0.0,0.02
310,0.0,-0.0,0.02,0.02,0.0,0.0,0.02
311,0.0,-0.0,0.05,0.05,0.0,0.0,0.02
312,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
313,0.0,-0.0,0.04,0.04,0.0,0.0,0.02
314,0.0,-0.0,0.06,0.06,0.0,0.0,0.02
315,0.0,-0.01,0.08,0.08,0.0,0.0,0.02
316,0.0,0.0,0.09,0.09,0.0,0.0,0.03
