,0
169,0.0029437896
170,0.010832448
171,0.014910255
172,0.014965505
173,0.017463438
174,0.012611661
175,0.0141483955
176,0.012431687
177,0.012020198
178,0.006102806
179,0.019033631
180,0.01238676
181,0.011446249
182,0.016431633
183,0.007554117
184,0.015424462
185,0.013922676
186,0.004306472
187,0.011042615
188,0.013834284
189,0.01844226
190,0.008960887
191,0.015890125
192,0.01490402
193,0.0155570265
194,0.020575555
195,0.015475536
196,0.01843892
197,0.0067502353
198,0.017719628
199,0.022530438
200,0.017874021
201,0.022025738
202,0.02212847
203,0.014426285
204,0.009317812
205,0.010584884
206,0.014854553
207,0.018965945
208,0.016278967
209,0.02275398
210,0.0143573675
211,0.022418141
212,0.020218415
213,0.017800732
214,0.8299091
215,0.018165745
216,0.016462546
217,0.012191538
218,0.6121499
219,0.016734466
220,0.0077564865
221,0.0133818695
222,0.009212046
223,0.0026722085
224,0.014339851
225,0.01418086
226,0.01198039
227,0.011433098
228,0.006013596
229,0.01288847
230,0.012507563
231,0.011456583
232,0.011985521
233,0.008122666
234,0.019402433
235,0.011159853
236,-2.5450252e-05
237,0.01224059
238,0.0052138865
239,0.016019722
240,0.010952345
241,0.018194566
242,0.009401586
243,0.015129413
244,0.018701693
245,0.0106457975
246,0.004836004
247,0.020573769
248,0.0007406464
249,0.014884855
250,0.010831574
251,0.010426187
252,0.010057596
253,0.018262334
254,0.008021828
255,0.011031508
256,0.020079164
257,0.0075574573
258,0.015268575
259,0.023564931
260,0.020468354
261,0.029051654
262,0.019879967
263,0.023662277
264,0.017105743
265,0.11137928
266,0.015517625
267,0.019259688
268,0.0120658055
269,0.0059310123
270,0.018110136
271,0.017293504
272,0.019314485
273,0.008140908
274,0.016606467
275,0.0069374107
276,0.012834077
277,0.007090714
278,0.011908824
279,0.009907054
280,0.013859758
281,0.014353717
282,0.017950555
283,0.015257381
284,0.018831886
285,0.0021695457
286,0.017817857
287,0.014830671
288,0.02450401
289,0.0073556285
290,0.0029476425
291,0.21098435
292,0.009227244
293,0.017167699
294,0.014680856
295,0.012563005
296,0.012458379
297,0.012261372
298,0.019304615
299,0.004531958
300,0.015978102
301,0.011111107
302,0.018303763
303,0.0059669
304,0.21325314
305,0.014780694
306,0.011580876
307,0.013196358
308,0.016769629
309,0.015922781
310,0.25277117
311,0.008340763
312,-0.0038616164
313,0.009035332
314,0.021842703
315,0.0048569916
316,0.0071279937
317,0.0057833917
318,0.009908736
319,0.0013230098
320,0.014819378
321,0.011677187
322,0.0028613508
323,0.014345644
324,0.01848959
325,0.0077958647
326,0.010145402
327,0.022086017
328,0.010520182
329,0.28829885
330,0.009267937
331,0.013443299
332,0.029250849
333,0.011163708
334,0.024666362
335,0.01658436
336,0.018213129
337,0.018654129
338,0.016981155
339,0.0015108874
340,0.016698908
341,0.013657909
342,0.012313178
343,0.017855342
344,0.022556245
345,0.01981943
346,0.01795221
347,0.011792878
348,0.014977994
349,0.012948704
350,0.0117893005
351,0.008603652
352,0.0039293813
353,0.016497672
354,0.01641203
355,0.013014438
356,0.013471347
357,0.012758644
358,0.010515455
359,0.0067112045
360,0.005816252
361,0.014850412
362,-0.00012581982
363,0.010207113
364,0.013754316
365,0.013136333
366,0.004754685
367,0.010334818
368,0.01676527
369,0.021468222
370,0.0064878063
371,0.010660032
372,0.014158843
373,0.017928708
374,0.01979107
375,0.023979299
376,0.016917631
377,0.014203733
378,0.025591087
379,0.52857107
380,0.004947182
381,0.013015123
382,0.017019572
383,0.008737545
384,0.0135713015
385,0.0107410345
386,0.022836242
387,0.007915241
388,0.0021484233
389,0.02007604
390,0.016132455
391,0.01493564
392,0.015378404
393,0.01690146
394,0.009288294
395,1.441669
396,0.015218804
397,0.016196212
398,0.017250862
399,0.009688162
400,0.010458146
401,0.01790326
402,0.0113171805
403,0.013666346
